Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Houston Rockets,65-17,34-7,31-10,24-6,41-11,4-Jun,1-Sep,1-Sep,16-2,13-5,4-Dec,44-13,21-4,3-May,38-8,3-May,1-Dec,5-Sep,4-Oct,Dec-00,14-1,3-Mar
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-11,4-Dec,14-4,14-4,5-May,4-Jun,2-Aug,41-16,18-7,7-May,33-5,2-Apr,5-Sep,3-Nov,5-Oct,2-Sep,4-Dec,2-Apr
3,Golden State Warriors,58-24,29-12,29-12,24-6,34-18,1-Sep,4-Jun,1-Sep,10-Aug,13-3,13-5,44-14,14-10,1-May,38-13,3-May,3-Nov,13-2,3-Nov,3-Aug,7-Jul,3-Mar
4,Boston Celtics,55-27,27-14,28-13,33-19,22-8,4-Dec,8-Oct,7-Nov,1-Sep,3-Jul,4-Jun,40-19,15-8,8-Nov,25-9,2-May,14-2,6-Nov,5-Jul,4-Jul,4-Sep,4-Feb
5,Philadelphia 76ers,52-30,30-11,22-19,34-18,18-12,7-Sep,7-Nov,14-4,3-Jul,6-Apr,3-Jul,30-25,22-5,7-Apr,31-11,4-Mar,5-Sep,10-May,5-Jul,3-Aug,13-3,Jul-00
6,Cleveland Cavaliers,50-32,29-12,21-20,35-17,15-15,7-Nov,5-Nov,13-5,5-May,5-May,5-May,34-22,16-10,5-Aug,17-20,4-Mar,3-Dec,5-Sep,8-Jun,4-Jun,6-Oct,2-Apr
7,Portland Trail Blazers,49-33,28-13,21-20,18-12,31-21,6-Apr,4-Jun,2-Aug,7-Sep,15-3,11-Jul,32-26,17-7,8-Aug,20-12,3-Apr,6-Sep,8-May,5-Nov,4-Jun,3-Dec,4-Feb
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,7-Nov,6-Oct,7-Nov,7-Mar,1-Sep,6-Apr,33-25,15-9,2-Nov,20-16,3-Apr,7-Aug,8-Jul,5-Oct,4-May,4-Nov,3-Mar
9,New Orleans Pelicans,48-34,24-17,24-17,21-9,27-25,4-Jun,1-Sep,4-Jun,12-Jun,6-Dec,7-Sep,31-26,17-8,3-Jul,19-16,4-Mar,6-Aug,8-Jul,5-Sep,3-Aug,7-Aug,1-May
10,Oklahoma City Thunder,48-34,27-14,21-20,20-10,28-24,4-Jun,3-Jul,3-Jul,11-May,6-Dec,7-Nov,33-26,15-8,10-Aug,24-11,3-Apr,9-Apr,5-Dec,4-Oct,6-Jun,6-Aug,1-Apr
