PlayerId,Year,Player,Pos,Age,Tm,G,GS,MP_old,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_old,WS,WS_max,WS/48_old,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Allen* MIL,2001,Ray Allen*,SG,25,MIL,18,18,186,768,23.7,0.613,0.36,0.26,2.8,7.4,5.2,27.1,1.7,0.9,10.4,24.9,3.2,0.4,0.7,3.6,0.7,0.183,0.223,7.5,-0.5,7,1.7,158,331,0.477,57,119,0.479,101,212,0.476,0.563,79,86,0.919,19,55,74,108,24,10,43,44,452
Rafer Alston MIL,2001,Rafer Alston,PG,24,MIL,5,0,16,8,-14.2,0,0,0,0,0,0,17.2,0,0,66.7,17.4,-0.1,0,-0.1,-0.1,-0.1,-0.367,-0.488,-21.1,-4.4,-25.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Greg Anthony POR,2001,Greg Anthony,PG,33,POR,2,0,213,17,2.6,0.417,0.5,0,0,0,0,0,3.1,0,14.3,19.2,0,0,0.4,-0.1,0.4,0.095,-0.145,-7.8,0.4,-7.3,0,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,0,0,0,0,0,1,0,1,2,5
Stacey Augmon POR,2001,Stacey Augmon,SG,32,POR,2,0,34,28,14.2,0.46,0,0.2,3.9,12.1,7.9,27.3,1.9,0,8.4,19.8,0,0,-0.1,0.0,-0.1,-0.071,0.035,-3.5,1.6,-1.9,0,4,10,0.4,0,0,0,4,10,0.4,0.4,2,2,1,1,3,4,4,1,0,1,3,10
Jon Barry SAC,2001,Jon Barry,SG,31,SAC,7,0,102,55,6.5,0.471,0.412,0,5.5,0,2.8,12.2,0.9,0,15,15.1,0,0,0.4,0.0,0.4,0.169,0.027,-0.5,-1.7,-2.2,0,7,17,0.412,2,7,0.286,5,10,0.5,0.471,0,0,0,3,0,3,4,1,0,3,7,16
Jonathan Bender IND,2001,Jonathan Bender,SF,20,IND,1,0,21,4,-14.8,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0.1,0.0,0.1,0.247,-0.305,-14.5,-0.5,-15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jonathan Bender IND,2002,Jonathan Bender,SF,21,IND,5,0,4,45,2.9,0.5,0.167,0,0,10,5.3,7.1,2.4,4.7,45.5,11.7,-0.1,0.1,0.0,0.0,0.1,-0.305,-0.033,-6.2,5.5,-0.8,0,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,0,0,4,4,2,2,3,5,6,6
Jonathan Bender IND,2003,Jonathan Bender,SF,22,IND,3,0,45,34,17.5,0.482,0.6,0.4,9.6,13.5,11.5,0,0,5.4,0,23.9,0.1,0,0.0,0.1,0.1,-0.033,0.117,-0.3,-4.8,-5.1,0,5,15,0.333,3,9,0.333,2,6,0.333,0.433,4,6,0.667,3,4,7,0,0,2,0,2,17
Jonathan Bender IND,2004,Jonathan Bender,SF,23,IND,16,0,34,200,14.4,0.506,0.362,0.232,5.7,10.3,8,7,0.6,5.5,13.6,21.2,0.1,0.3,0.1,0.4,0.1,0.117,0.099,0.2,0.3,0.4,0.1,28,69,0.406,9,25,0.36,19,44,0.432,0.471,12,16,0.75,10,18,28,7,2,14,12,19,77
Travis Best IND,2001,Travis Best,PG,28,IND,4,4,463,163,14.2,0.478,0.077,0.103,4,9,6.4,39.3,1.4,0,12.8,13.4,0.3,0.1,1.2,0.3,1.2,0.12,0.099,-0.6,0.5,-0.1,0.1,17,39,0.436,1,3,0.333,16,36,0.444,0.449,4,4,1,6,13,19,37,4,0,6,15,39
Bruce Bowen MIA,2001,Bruce Bowen,SF,29,MIA,3,3,157,58,3.2,0.375,0.5,0,2.1,2.1,2.1,6.5,1.8,2.6,11.1,15,-0.1,0,0.4,-0.1,0.4,0.112,-0.102,-7,1.5,-5.5,-0.1,5,16,0.313,2,8,0.25,3,8,0.375,0.375,0,0,0,1,1,2,2,2,2,2,8,12
Terrell Brandon MIN,2001,Terrell Brandon,PG,30,MIN,4,4,162,153,15.3,0.482,0.145,0.048,1.4,11.3,6.2,35.2,1.4,1.1,11.2,22,0.1,0.2,0.7,0.2,0.7,0.199,0.073,1.5,0.9,2.4,0.2,27,62,0.435,4,9,0.444,23,53,0.434,0.468,3,3,1,2,15,17,25,4,2,8,10,61
Rick Brunson NYK,2001,Rick Brunson,PG,28,NYK,2,0,4,4,9.1,0.543,0,4,0,0,0,0,0,0,26.6,46.9,0,0,0.0,0.0,0.0,-0.01,-0.138,-13.2,-8.2,-21.4,0,0,1,0,0,0,0,0,1,0,0,3,4,0.75,0,0,0,0,0,0,1,0,3
Kobe Bryant LAL,2001,Kobe Bryant,SG,22,LAL,16,16,857,694,25,0.555,0.095,0.422,4.7,13.3,9.1,25.4,1.9,1.3,10.7,30.3,2.6,1.2,2.1,3.8,2.1,0.115,0.26,6.5,0.8,7.3,1.6,168,358,0.469,11,34,0.324,157,324,0.485,0.485,124,151,0.821,29,87,116,97,25,12,51,53,471
Kobe Bryant LAL,2002,Kobe Bryant,SG,23,LAL,19,19,694,833,20.5,0.511,0.135,0.336,3.8,10.6,7.3,20.2,1.7,1.5,9.8,29.8,1.7,0.8,3.8,2.6,3.8,0.26,0.148,2.4,0.8,3.3,1.1,187,431,0.434,22,58,0.379,165,373,0.442,0.459,110,145,0.759,28,83,111,87,27,17,54,65,506
Kobe Bryant LAL,2003,Kobe Bryant,SG,24,LAL,12,12,833,531,22.2,0.531,0.196,0.328,3.3,10.1,6.6,22.8,1.4,0.1,10.4,34,1.2,0.2,2.6,1.5,3.8,0.148,0.131,3.4,-1.1,2.3,0.6,137,317,0.432,25,62,0.403,112,255,0.439,0.472,86,104,0.827,16,45,61,62,14,1,42,35,385
Kobe Bryant LAL,2004,Kobe Bryant,SG,25,LAL,22,22,531,973,21,0.506,0.211,0.361,2.2,10.3,6.2,25.6,2.4,0.6,10.3,29.8,2.1,0.8,1.5,2.9,3.8,0.131,0.145,3.5,1.1,4.6,1.6,190,460,0.413,24,97,0.247,166,363,0.457,0.439,135,166,0.813,18,86,104,121,42,7,61,59,539
