PlayerId,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,Salary,ID,Tm_Id,AllStar
Ray Allen MIL,2000,Ray Allen,SG,24,MIL,5,5,186,22.7,0.552,0.289,0.244,6.5,13.3,10.1,12.2,2.3,0,8.3,26.9,0.5,0.2,0.7,0.183,5,0.4,5.4,0.4,40,90,0.444,10,26,0.385,30,64,0.469,0.5,20,22,0.909,10,23,33,13,8,0,9,10,110,37.2,2.0,4.6,6.6,2.6,1.6,0.0,1.8,2.0,22.0,9000000,951,1610612749,1
Rafer Alston MIL,2000,Rafer Alston,PG,23,MIL,4,0,16,-11.6,0,0.333,0.667,0,0,0,7.9,0,0,20.5,14.1,-0.1,0,-0.1,-0.367,-13.7,-2.6,-16.3,-0.1,0,3,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,301875,1747,1610612749,0
Nick Anderson SAC,2000,Nick Anderson,SG,32,SAC,5,5,132,7.8,0.48,0.588,0.235,3.2,10,6.7,2.5,0.4,1.4,9.6,14.2,0,-0.1,0,-0.014,-4.1,2,-2.1,0,11,34,0.324,7,20,0.35,4,14,0.286,0.426,7,8,0.875,4,13,17,2,1,3,4,9,36,26.4,0.8,2.6,3.4,0.4,0.2,0.6,0.8,1.8,7.2,5051906,98,1610612758,0
Jon Barry SAC,2000,Jon Barry,SG,30,SAC,5,0,102,18.5,0.695,0.571,0.762,2.1,9.9,6.1,19.2,1.5,0,12.5,14.2,0.4,0,0.4,0.169,1.9,2,3.9,0.2,9,21,0.429,7,12,0.583,2,9,0.222,0.595,14,16,0.875,2,10,12,12,3,0,4,7,39,20.4,0.4,2.0,2.4,2.4,0.6,0.0,0.8,1.4,7.8,800000,468,1610612758,0
Muggsy Bogues TOR,2000,Muggsy Bogues,PG,35,TOR,3,2,87,4.5,0.358,0.429,0.143,3.9,4.4,4.2,11.3,2.6,0,15.2,14.2,-0.1,0.1,-0.1,-0.034,-4.1,0.4,-3.8,0,6,21,0.286,3,9,0.333,3,12,0.25,0.357,1,3,0.333,3,3,6,5,4,0,4,4,16,29.0,1.0,1.0,2.0,1.6666666666666667,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,5.333333333333333,510000,177,1610612761,0
Terrell Brandon MIN,2000,Terrell Brandon,PG,29,MIN,4,4,162,23.3,0.575,0.175,0.175,3.2,16.8,9.7,40.7,1.1,0,10.5,23.4,0.6,0.1,0.7,0.199,5.7,0.9,6.6,0.4,32,63,0.508,4,11,0.364,28,52,0.538,0.54,10,11,0.909,4,19,23,34,3,0,8,11,78,40.5,1.0,4.75,5.75,8.5,0.75,0.0,2.0,2.75,19.5,7400000,210,1610612750,0
Kobe Bryant LAL,2000,Kobe Bryant,SG,21,LAL,22,22,857,19.3,0.517,0.162,0.32,3.4,9.9,6.6,19.8,2,2.9,10.9,26.7,1.5,0.5,2.1,0.115,1.5,1.8,3.3,1.2,174,394,0.442,22,64,0.344,152,330,0.461,0.47,95,126,0.754,26,72,98,97,32,32,55,89,465,38.95454545454545,1.1818181818181819,3.272727272727273,4.454545454545454,4.409090909090909,1.4545454545454546,1.4545454545454546,2.5,4.045454545454546,21.136363636363637,9000000,977,1610612747,1
Jud Buechler DET,2000,Jud Buechler,SF,31,DET,3,0,34,4.8,0.429,0.714,0,0,15.4,7.5,5.6,0,2.3,0,10.1,0,0,0,0.05,-3.1,1.3,-1.8,0,2,7,0.286,2,5,0.4,0,2,0,0.429,0,0,0,0,4,4,1,0,1,0,4,6,11.333333333333334,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3333333333333333,2.0,1100000,146,1610612765,0
Vince Carter TOR,2000,Vince Carter,SF,23,TOR,3,3,119,18.2,0.456,0.2,0.62,8.6,9.7,9.1,35.5,1.4,2.9,11.2,28.3,0.2,0.1,0.3,0.123,3.3,0.8,4.1,0.2,15,50,0.3,1,10,0.1,14,40,0.35,0.31,27,31,0.871,9,9,18,19,3,4,8,12,58,39.666666666666664,3.0,3.0,6.0,6.333333333333333,1.0,1.3333333333333333,2.6666666666666665,4.0,19.333333333333332,2267280,1713,1610612761,1
Sam Cassell MIL,2000,Sam Cassell,PG,30,MIL,5,5,178,18.5,0.486,0.069,0.292,0,10.3,5.4,40.8,1.2,0,10,23.4,0.4,0.1,0.5,0.13,1.9,-0.8,1.1,0.1,30,72,0.417,1,5,0.2,29,67,0.433,0.424,18,21,0.857,0,17,17,45,4,0,9,19,79,35.6,0.0,3.4,3.4,9.0,0.8,0.0,1.8,3.8,15.8,3500000,208,1610612749,0
