Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Ray Allen*,SG,24,MIL,5,186,22.7,0.552,0.289,0.244,6.5,13.3,10.1,12.2,2.3,0,8.3,26.9,,0.5,0.2,0.7,0.183,,5,0.4,5.4,0.4
2000,Rafer Alston,PG,23,MIL,4,16,-11.6,0,0.333,0.667,0,0,0,7.9,0,0,20.5,14.1,,-0.1,0,-0.1,-0.367,,-13.7,-2.6,-16.3,-0.1
2000,Nick Anderson,SG,32,SAC,5,132,7.8,0.48,0.588,0.235,3.2,10,6.7,2.5,0.4,1.4,9.6,14.2,,0,-0.1,0,-0.014,,-4.1,2,-2.1,0
2000,Greg Anthony,PG,32,POR,15,213,11.9,0.508,0.596,0.308,1.2,8.3,4.8,20,3.4,1.5,16.9,16.3,,0.1,0.3,0.4,0.095,,0.5,2.2,2.8,0.3
2000,Stacey Augmon,SG,31,POR,7,34,-0.2,0.349,0,0.167,0,7.4,3.7,0,0,0,0,18.5,,-0.1,0,-0.1,-0.071,,-8.4,-3.8,-12.1,-0.1
2000,Toby Bailey,SG,24,PHO,5,15,9.1,0.347,0,1,7,7.1,7.1,21.2,0,0,0,17.1,,0,0,0,0.036,,-2.8,-1.6,-4.4,0
2000,Vin Baker,C,28,SEA,5,177,10.2,0.424,0.013,0.227,10,15,12.4,10.2,1.5,0.9,16.2,25.6,,-0.3,0.1,-0.2,-0.043,,-5.1,1.1,-3.9,-0.1
2000,Brent Barry,SG,28,SEA,5,155,9.7,0.536,0.606,0.424,2.2,7.8,4.9,14.9,1,1.5,15.2,13.7,,0.2,0.1,0.2,0.072,,-0.2,1,0.7,0.1
2000,Jon Barry,SG,30,SAC,5,102,18.5,0.695,0.571,0.762,2.1,9.9,6.1,19.2,1.5,0,12.5,14.2,,0.4,0,0.4,0.169,,1.9,2,3.9,0.2
2000,Jonathan Bender,SF,19,IND,9,21,23.9,0.694,0.167,1,0,16.5,8.4,0,2.6,0,0,19.5,,0.1,0,0.1,0.247,,1.3,-2.4,-1.1,0
2000,Travis Best,PG,27,IND,23,463,17,0.514,0.168,0.246,3.9,10.5,7.3,25.5,2.2,0.6,11.2,22.9,,0.8,0.4,1.2,0.12,,1.2,1.5,2.8,0.6
2000,Corie Blount,PF,31,PHO,9,162,13,0.565,0,0.581,16.2,20.4,18.3,3.1,2,2.7,25,14.3,,0.1,0.3,0.4,0.113,,-2.3,2.9,0.6,0.1
2000,Muggsy Bogues,PG,35,TOR,3,87,4.5,0.358,0.429,0.143,3.9,4.4,4.2,11.3,2.6,0,15.2,14.2,,-0.1,0.1,-0.1,-0.034,,-4.1,0.4,-3.8,0
2000,Lazaro Borrell,SF,27,SEA,2,26,19.3,0.571,0,0.571,12.8,37.1,24.5,6.7,0,0,10.2,17.3,,0.1,0,0.1,0.163,,-1.9,-0.5,-2.4,0
2000,Bruce Bowen,SF,28,MIA,10,157,7.4,0.514,0.815,0.593,0.8,6.8,3.8,8.9,2.5,2.1,15,12.6,,0,0.3,0.4,0.112,,0.5,1.1,1.6,0.1
2000,Ira Bowman,SG,26,PHI,7,11,-4.7,0,0.5,1,0,0,0,25.8,0,0,0,12,,-0.1,0,-0.1,-0.261,,-11.1,-6.6,-17.7,0
2000,Terrell Brandon,PG,29,MIN,4,162,23.3,0.575,0.175,0.175,3.2,16.8,9.7,40.7,1.1,0,10.5,23.4,,0.6,0.1,0.7,0.199,,5.7,0.9,6.6,0.4
2000,Dee Brown,PG,31,TOR,3,19,-4.1,0,0.75,0,0,13.5,6.3,18.3,5.9,0,20,12.4,,-0.1,0,-0.1,-0.165,,-9.4,3.9,-5.5,0
2000,P.J. Brown,PF,30,MIA,10,308,10.6,0.443,0,0.073,10,21.7,15.8,6.8,1.5,1.1,11.5,15.3,,0,0.7,0.7,0.106,,-1.3,1.6,0.3,0.2
2000,Rick Brunson,PG,27,NYK,3,4,4.5,0,0,0,0,0,0,38.7,14.3,0,0,12.8,,0,0,0,-0.01,,-7.1,3.6,-3.4,0
2000,Kobe Bryant,SG,21,LAL,22,857,19.3,0.517,0.162,0.32,3.4,9.9,6.6,19.8,2,2.9,10.9,26.7,,1.5,0.5,2.1,0.115,,1.5,1.8,3.3,1.2
2000,Jud Buechler,SF,31,DET,3,34,4.8,0.429,0.714,0,0,15.4,7.5,5.6,0,2.3,0,10.1,,0,0,0,0.05,,-3.1,1.3,-1.8,0
2000,Rodney Buford,SG,22,MIA,1,16,23.7,0.619,0.25,0.25,0,7.4,3.7,16.1,0,0,0,27.4,,0.1,0,0.1,0.305,,8.2,-5.8,2.3,0
2000,Marcus Camby,C,25,NYK,16,386,10.6,0.386,0.012,0.36,11.1,23.3,17.3,2.7,1.2,5,10.7,14.8,,-0.3,0.8,0.5,0.064,,-4.6,3.2,-1.4,0.1
2000,Elden Campbell,C,31,CHH,4,150,13.8,0.536,0.021,0.298,7.2,18.1,12.8,5.2,0.8,2,13.1,19.6,,0.2,0.1,0.2,0.079,,-3.5,-0.1,-3.5,-0.1
2000,Anthony Carter,PG,24,MIA,10,275,14,0.458,0.078,0.208,3.5,13.9,8.7,39.1,2.5,0.6,21.5,19.2,,-0.1,0.6,0.5,0.094,,0.4,0.9,1.4,0.2
2000,Vince Carter,SF,23,TOR,3,119,18.2,0.456,0.2,0.62,8.6,9.7,9.1,35.5,1.4,2.9,11.2,28.3,,0.2,0.1,0.3,0.123,,3.3,0.8,4.1,0.2
2000,Sam Cassell,PG,30,MIL,5,178,18.5,0.486,0.069,0.292,0,10.3,5.4,40.8,1.2,0,10,23.4,,0.4,0.1,0.5,0.13,,1.9,-0.8,1.1,0.1
2000,Chris Childs,PG,32,NYK,16,334,10.2,0.528,0.4,0.4,0.4,12.6,6.6,20.7,1.2,0,14.5,14.8,,0.3,0.4,0.7,0.098,,0.1,0.1,0.2,0.2
2000,Doug Christie,SG,29,TOR,3,61,5.1,0.384,0.615,0.462,1.9,8.4,4.9,18.7,3.7,1.4,20.4,15.2,,-0.1,0.1,0,-0.007,,-3.7,1.6,-2.1,0
2000,Derrick Coleman,PF,32,CHH,4,169,22.8,0.584,0.281,0.491,7.1,26.8,17.2,16.7,1,5.4,15.8,23.4,,0.4,0.2,0.6,0.168,,1.1,3.5,4.6,0.3
2000,Tyrone Corbin,SF,37,SAC,3,23,9.5,0.368,0.4,0.2,4.7,17.6,11.3,21.3,0,0,0,10.7,,0,0,0,0.017,,-3.8,2.4,-1.5,0
2000,Austin Croshere,PF,24,IND,23,490,17.5,0.565,0.242,0.569,7.6,18.4,13.1,6.5,1,2.3,11.6,20.9,,1.1,0.4,1.5,0.149,,0,1.5,1.6,0.4
2000,John Crotty,PG,30,DET,3,51,-0.6,0.276,0.3,0.2,0,10.3,5,14.4,1,1.6,26.9,14.3,,-0.2,0.1,-0.1,-0.126,,-8.7,1.9,-6.9,-0.1
2000,Dell Curry,SG,35,TOR,3,30,9,0.717,0.75,0.5,3.8,4.3,4,6.5,3.7,0,29.1,10.8,,0,0,0,0.076,,-0.5,1.2,0.7,0
2000,Michael Curry,SG,31,DET,3,79,11.4,0.546,0,0.261,0,5,2.4,8.8,0.7,1,7.2,17.1,,0.1,0.1,0.1,0.087,,-1.7,-0.4,-2.1,0
2000,Antonio Daniels,SG,24,SAS,4,82,13.9,0.505,0.348,0.565,2.5,9.8,6.2,15.3,4.5,0,17.3,19.2,,0,0.2,0.2,0.126,,2,2.3,4.3,0.1
2000,Antonio Davis,C,31,TOR,3,105,18.1,0.647,0,0.583,7.6,22,14.3,6.4,0.5,3.3,11.7,15.3,,0.3,0.1,0.4,0.187,,-0.1,1.3,1.1,0.1
2000,Baron Davis,PG,20,CHH,4,57,14.9,0.464,0.261,0.174,6.3,6,6.1,22,4,0,10.8,23.4,,0,0,0.1,0.047,,-0.2,-0.1,-0.3,0
2000,Dale Davis,C,30,IND,23,714,16.4,0.537,0,0.391,14,29.2,21.7,3.9,0.8,3.1,9.2,12.9,,1.4,1,2.3,0.157,,-1,3.6,2.6,0.8
2000,Todd Day,SG,30,PHO,9,100,11.6,0.533,0.457,0.286,6.3,4.3,5.3,7.5,2.1,0.7,9.2,19.4,,0.1,0.1,0.2,0.108,,1.7,-0.3,1.4,0.1
2000,Vinny Del Negro,PG,33,MIL,5,93,9.7,0.433,0.067,0,0,9.3,4.9,14.9,1.7,0,9.1,16.4,,0,0,0,0.011,,-3.2,0.7,-2.5,0
2000,Tony Delk,PG,26,SAC,5,101,19.5,0.548,0.122,0.561,11.7,7,9.3,13.3,1.6,0,13.5,26.5,,0.2,0,0.2,0.089,,0.4,1.4,1.7,0.1
2000,Derrick Dial,SG,24,SAS,2,8,24.8,0.512,0,0.5,25.9,0,12.7,0,0,0,0,27.7,,0,0,0,0.224,,6.2,-9,-2.8,0
2000,Vlade Divac,C,31,SAC,5,160,12.6,0.423,0.036,0.411,6,17.1,11.7,15.2,2.3,1.6,12,21.2,,-0.1,0.1,0,-0.002,,-5.1,5.2,0.1,0.1
2000,Chris Dudley,C,34,NYK,5,43,9.7,0.694,0,1,14.2,19,16.6,7.5,1.3,1.9,25.8,4.6,,0.1,0.1,0.2,0.185,,0.1,3.3,3.5,0.1
2000,Howard Eisley,PG,27,UTA,10,200,5.3,0.432,0.345,0.164,0.6,9.8,5.4,15.7,1.6,0.4,18.1,17.3,,-0.3,0.1,-0.2,-0.037,,-5,0.4,-4.6,-0.1
2000,Mario Elie,SF,36,SAS,4,115,8.5,0.501,0.318,0.818,4.5,10.4,7.5,11.3,2.3,0,28.6,16.6,,-0.1,0.3,0.1,0.054,,-1.2,1.6,0.4,0.1
2000,Sean Elliott,SF,31,SAS,4,119,8.5,0.46,0.325,0.2,0.9,17.6,9.4,9.1,0,1.2,8.4,18.1,,0,0.3,0.2,0.09,,-0.4,-0.3,-0.7,0
2000,Patrick Ewing*,C,37,NYK,14,461,17.9,0.488,0,0.524,7.7,26.3,17.2,2.6,2,3.6,11.4,26.3,,0,1,1,0.105,,-3.6,0.9,-2.7,-0.1
2000,Derek Fisher,PG,25,LAL,21,322,13.5,0.55,0.367,0.316,1.4,6.6,3.9,19,1.8,0.2,9.1,13.9,,0.7,0.1,0.8,0.114,,0.2,-0.7,-0.5,0.1
2000,Greg Foster,PF,31,SEA,5,68,3.3,0.453,0.263,0.105,1.6,17.7,9.4,2.4,0,1.1,13.1,15.5,,-0.1,0,0,-0.017,,-6.2,-0.6,-6.8,-0.1
