ID,Tm_Id,Player,AllStar,Year
275,1610612752,Allan Houston,1,2000
947,1610612755,Allen Iverson,1,2000
193,1610612748,Anthony Mason,1,2000
213,1610612761,Antonio Davis,1,2000
686,1610612743,Antonio McDyess,1,2000
185,1610612758,Chris Webber,1,2000
764,1610612759,David Robinson,1,2000
87,1610612755,Dikembe Mutombo,1,2000
56,1610612760,Gary Payton,1,2000
299,1610612749,Glenn Robinson,1,2000
467,1610612756,Jason Kidd,1,2000
711,1610612765,Jerry Stackhouse,1,2000
252,1610612762,Karl Malone,1,2000
708,1610612750,Kevin Garnett,1,2000
977,1610612747,Kobe Bryant,1,2000
84,1610612752,Latrell Sprewell,1,2000
714,1610612742,Michael Finley,1,2000
739,1610612757,Rasheed Wallace,1,2000
951,1610612749,Ray Allen,1,2000
950,1610612751,Stephon Marbury,1,2000
1495,1610612759,Tim Duncan,1,2000
1503,1610612753,Tracy McGrady,1,2000
1713,1610612761,Vince Carter,1,2000
124,1610612758,Vlade Divac,1,2000
920,1610612748,A.C. Green,0,2000
2062,1610612741,A.J. Guyton,0,2000
243,1610612755,Aaron McKie,0,2000
1425,1610612751,Aaron Williams,0,2000
228,1610612744,Adam Keefe,0,2000
1502,1610612744,Adonal Foyle,0,2000
1559,1610612738,Adrian Griffin,0,2000
1733,1610612754,Al Harrington,0,2000
673,1610612737,Alan Henderson,0,2000
1541,1610612761,Alvin Williams,0,2000
1889,1610612739,Andre Miller,0,2000
692,1610612753,Andrew DeClercq,0,2000
1712,1610612744,Antawn Jamison,0,2000
1853,1610612748,Anthony Carter,0,2000
1533,1610612739,Anthony Johnson,0,2000
292,1610612755,Anthony Miller,0,2000
324,1610612750,Anthony Peeler,0,2000
952,1610612738,Antoine Walker,0,2000
1498,1610612759,Antonio Daniels,0,2000
176,1610612757,Antonio Harvey,0,2000
717,1610612757,Arvydas Sabonis,0,2000
1506,1610612754,Austin Croshere,0,2000
422,1610612759,Avery Johnson,0,2000
1884,1610612766,Baron Davis,0,2000
1112,1610612765,Ben Wallace,0,2000
223,1610612744,Bill Curley,0,2000
182,1610612765,Billy Owens,0,2000
902,1610612739,Bimbo Coles,0,2000
448,1610612753,Bo Outlaw,0,2000
682,1610612744,Bob Sura,0,2000
1517,1610612758,Bobby Jackson,0,2000
1719,1610612757,Bonzi Wells,0,2000
1802,1610612741,Brad Miller,0,2000
699,1610612760,Brent Barry,0,2000
1510,1610612737,Brevin Knight,0,2000
2073,1610612765,Brian Cardinal,0,2000
258,1610612748,Brian Grant,0,2000
216,1610612747,Brian Shaw,0,2000
1730,1610612746,Brian Skinner,0,2000
1477,1610612748,Bruce Bowen,0,2000
1743,1610612754,Bruno Sundov,0,2000
735,1610612763,Bryant Reeves,0,2000
179,1610612738,Bryant Stith,0,2000
1724,1610612741,Bryce Drew,0,2000
935,1610612762,Bryon Russell,0,2000
1898,1610612737,Cal Bowdler,0,2000
384,1610612743,Calbert Cheaney,0,2000
1916,1610612742,Calvin Booth,0,2000
435,1610612745,Carlos Rogers,0,2000
76,1610612748,Cedric Ceballos,0,2000
1538,1610612739,Cedric Henderson,0,2000
891,1610612761,Charles Oakley,0,2000
369,1610612752,Charlie Ward,0,2000
1497,1610612750,Chauncey Billups,0,2000
685,1610612746,Cherokee Parks,0,2000
713,1610612738,Chris Carr,0,2000
164,1610612761,Chris Childs,0,2000
1544,1610612737,Chris Crawford,0,2000
201,1610612756,Chris Dudley,0,2000
423,1610612739,Chris Gatling,0,2000
1914,1610612738,Chris Herren,0,2000
2036,1610612739,Chris Mihm,0,2000
168,1610612744,Chris Mills,0,2000
904,1610612744,Chris Mullin,0,2000
2084,1610612744,Chris Porter,0,2000
43,1610612764,Chris Whitney,0,2000
363,1610612764,Christian Laettner,0,2000
1088,1610612765,Chucky Atkins,0,2000
221,1610612739,Clar. Weatherspoon,0,2000
361,1610612756,Clifford Robinson,0,2000
1736,1610612741,Corey Benjamin,0,2000
1894,1610612746,Corey Maggette,0,2000
916,1610612744,Corie Blount,0,2000
722,1610612765,Corliss Williamson,0,2000
2042,1610612764,Courtney Alexander,0,2000
1749,1610612745,Cuttino Mobley,0,2000
905,1610612757,Dale Davis,0,2000
2053,1610612741,Dalibor Bagaric,0,2000
1800,1610612763,Damon Jones,0,2000
757,1610612757,Damon Stoudamire,0,2000
2061,1610612745,Dan Langhi,0,2000
105,1610612748,Dan Majerle,0,2000
344,1610612765,Dana Barros,0,2000
2091,1610612756,Daniel Santiago,0,2000
198,1610612759,Danny Ferry,0,2000
1504,1610612744,Danny Fortson,0,2000
330,1610612762,Danny Manning,0,2000
2032,1610612746,Darius Miles,0,2000
353,1610612753,Darrell Armstrong,0,2000
239,1610612758,Darrick Martin,0,2000
1032,1610612749,Darvin Ham,0,2000
128,1610612762,David Benoit,0,2000
133,1610612766,David Wesley,0,2000
2052,1610612762,DeShawn Stevenson,0,2000
1051,1610612750,Dean Garrett,0,2000
209,1610612761,Dell Curry,0,2000
2035,1610612737,DerMarr Johnson,0,2000
1507,1610612759,Derek Anderson,0,2000
400,1610612746,Derek Strong,0,2000
934,1610612766,Derrick Coleman,0,2000
1760,1610612759,Derrick Dial,0,2000
