Player,Salary,Year,Tm
Dikembe Mutombo,12820249,2000,ATL
Isaiah Rider,5410000,2000,ATL
Alan Henderson,5318437,2000,ATL
Lorenzen Wright,4400000,2000,ATL
Bimbo Coles,2300000,2000,ATL
Chris Crawford,2000000,2000,ATL
LaPhonso Ellis,1925000,2000,ATL
Jim Jackson,1925000,2000,ATL
Duane Ferrell,1625000,2000,ATL
Jason Terry,1468920,2000,ATL
Scot Pollard,1063680,2000,ATL
Cal Bowdler,1025880,2000,ATL
Roshown McLeod,914760,2000,ATL
Dion Glover,893400,2000,ATL
Efthimi Rentzias,658700,2000,ATL
Jeffrey Sheppard,385000,2000,ATL
Brandon Williams,35176,2000,ATL
Dikembe Mutombo,14400000,2001,ATL
Alan Henderson,5910000,2001,ATL
Lorenzen Wright,4950000,2001,ATL
Jim Jackson,2330000,2001,ATL
Chris Crawford,2200000,2001,ATL
DerMarr Johnson,2107200,2001,ATL
Jason Terry,1579080,2001,ATL
Anthony Johnson,1200000,2001,ATL
Cal Bowdler,1102800,2001,ATL
Roshown McLeod,978600,2001,ATL
Dion Glover,960480,2001,ATL
Matt Maloney,611000,2001,ATL
Larry Robinson,611000,2001,ATL
Hanno Mottola,316969,2001,ATL
Anthony Miller,40000,2001,ATL
Shareef Abdur-Rahim,11250000,2002,ATL
Theo Ratliff,9667969,2002,ATL
Toni Kukoc,7906783,2002,ATL
Alan Henderson,6500312,2002,ATL
Nazr Mohammed,4500000,2002,ATL
Chris Crawford,2500000,2002,ATL
DerMarr Johnson,2265240,2002,ATL
Jason Terry,1689360,2002,ATL
Cal Bowdler,1179720,2002,ATL
Dion Glover,1027440,2002,ATL
Emanual Davis,715850,2002,ATL
Mark Strickland,715850,2002,ATL
Jacque Vaughn,590850,2002,ATL
Reggie Slater,523793,2002,ATL
Hanno Mottola,465850,2002,ATL
Dickey Simpkins,26190,2002,ATL
Shareef Abdur-Rahim,12375000,2003,ATL
Glenn Robinson,9860000,2003,ATL
Theo Ratliff,9375000,2003,ATL
Alan Henderson,7091250,2003,ATL
Nazr Mohammed,4750000,2003,ATL
Chris Crawford,2750000,2003,ATL
DerMarr Johnson,2423280,2003,ATL
Jason Terry,2153934,2003,ATL
Dion Glover,1584312,2003,ATL
Emanual Davis,824935,2003,ATL
Dan Dickau,776880,2003,ATL
Darvin Ham,699935,2003,ATL
Ira Newble,587435,2003,ATL
Matt Maloney,170716,2003,ATL
Amal McCaskill,143277,2003,ATL
Antonio Harvey,60361,2003,ATL
Mike Wilks,55402,2003,ATL
Paul Shirley,29832,2003,ATL
Shareef Abdur-Rahim,13500000,2004,ATL
Terrell Brandon,11100000,2004,ATL
Theo Ratliff,10156250,2004,ATL
Jason Terry,8333333,2004,ATL
Alan Henderson,7682188,2004,ATL
Nazr Mohammed,5000000,2004,ATL
Chris Crawford,3000000,2004,ATL
Boris Diaw,1021080,2004,ATL
Dion Glover,1000000,2004,ATL
Stephen Jackson,1000000,2004,ATL
Dan Dickau,835200,2004,ATL
Jacque Vaughn,813679,2004,ATL
Obinna Ekezie,688679,2004,ATL
Travis Hansen,366931,2004,ATL
Antoine Walker,14625000,2005,ATL
Al Harrington,6325000,2005,ATL
Chris Crawford,3250000,2005,ATL
Tony Delk,2700000,2005,ATL
Predrag Drobnjak,2550000,2005,ATL
Josh Childress,2490360,2005,ATL
Jon Barry,1800000,2005,ATL
Jason Collier,1500000,2005,ATL
Kevin Willis,1300000,2005,ATL
Josh Smith,1270080,2005,ATL
Kenny Anderson,1100000,2005,ATL
Boris Diaw,1097640,2005,ATL
Royal Ivey,425000,2005,ATL
Donta Smith,425000,2005,ATL
Jelani McCoy,167418,2005,ATL
Anthony Miller,34118,2005,ATL
Joe Johnson,12000000,2006,ATL
Al Harrington,6957500,2006,ATL
Zaza Pachulia,4000000,2006,ATL
Marvin Williams,3883560,2006,ATL
Tyronn Lue,3500000,2006,ATL
Tony Delk,3375000,2006,ATL
Josh Childress,2677200,2006,ATL
Jason Collier,1650000,2006,ATL
Josh Smith,1365360,2006,ATL
John Edwards,1000000,2006,ATL
Salim Stoudamire,675000,2006,ATL
Royal Ivey,641748,2006,ATL
Donta Smith,641748,2006,ATL
Esteban Batista,398762,2006,ATL
John Thomas,178675,2006,ATL
Joe Johnson,12744189,2007,ATL
Speedy Claxton,6854546,2007,ATL
Marvin Williams,4174800,2007,ATL
Zaza Pachulia,4000000,2007,ATL
Tyronn Lue,3500000,2007,ATL
Lorenzen Wright,3250000,2007,ATL
Shelden Williams,2952840,2007,ATL
Josh Childress,2863920,2007,ATL
Anthony Johnson,2640000,2007,ATL
Josh Smith,1460640,2007,ATL
Royal Ivey,744551,2007,ATL
Salim Stoudamire,729000,2007,ATL
Solomon Jones,675000,2007,ATL
Esteban Batista,664209,2007,ATL
Stanislav Medvedenko,625132,2007,ATL
Cedric Bozeman,412718,2007,ATL
Matt Freije,145961,2007,ATL
Dijon Thompson,89101,2007,ATL
Jeremy Richardson,55365,2007,ATL
Mike Bibby,13500000,2008,ATL
Joe Johnson,13488377,2008,ATL
Speedy Claxton,6306182,2008,ATL
Marvin Williams,4466040,2008,ATL
Zaza Pachulia,4000000,2008,ATL
Al Horford,3745800,2008,ATL
Josh Childress,3631449,2008,ATL
Josh Smith,2243543,2008,ATL
Acie Law,1927080,2008,ATL
Salim Stoudamire,783000,2008,ATL
Solomon Jones,729000,2008,ATL
Mario West,427163,2008,ATL
Jeremy Richardson,253499,2008,ATL
Mike Bibby,14983603,2009,ATL
Joe Johnson,14232567,2009,ATL
Josh Smith,10000000,2009,ATL
Speedy Claxton,5757818,2009,ATL
Marvin Williams,5636143,2009,ATL
Al Horford,4026720,2009,ATL
Zaza Pachulia,4000000,2009,ATL
Maurice Evans,2500000,2009,ATL
Acie Law,2071680,2009,ATL
Ronald Murray,1500000,2009,ATL
Solomon Jones,797581,2009,ATL
Randolph Morris,797581,2009,ATL
Thomas Gardner,711517,2009,ATL
Mario West,711517,2009,ATL
Othello Hunter,442114,2009,ATL
Joe Johnson,14976754,2010,ATL
Josh Smith,10800000,2010,ATL
Jamal Crawford,9360000,2010,ATL
Marvin Williams,7500000,2010,ATL
Mike Bibby,6217617,2010,ATL
Zaza Pachulia,4750000,2010,ATL
Al Horford,4307640,2010,ATL
Maurice Evans,2500000,2010,ATL
Jeff Teague,1373880,2010,ATL
Joe Smith,1306455,2010,ATL
Jason Collins,1181803,2010,ATL
Randolph Morris,855189,2010,ATL
Mario West,446740,2010,ATL
Othello Hunter,307564,2010,ATL
Joe Johnson,16324500,2011,ATL
Josh Smith,11600000,2011,ATL
Jamal Crawford,10800000,2011,ATL
Kirk Hinrich,9000000,2011,ATL
Marvin Williams,6712500,2011,ATL
Al Horford,5444857,2011,ATL
Zaza Pachulia,4251250,2011,ATL
Jeff Teague,1476840,2011,ATL
Jason Collins,1352181,2011,ATL
Etan Thomas,1223166,2011,ATL
Josh Powell,1069609,2011,ATL
Hilton Armstrong,992680,2011,ATL
Damien Wilkins,748656,2011,ATL
Pape Sy,473604,2011,ATL
Joe Johnson,18038573,2012,ATL
Josh Smith,12400000,2012,ATL
Al Horford,12000000,2012,ATL
Kirk Hinrich,8100000,2012,ATL
